kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Bunyi apa?,Bunyi ala?,Bahasa Indonesia,Real word Error
Siap-siap belajar.,Siap-siap belanja.,Bahasa Indonesia,Real word Error
Diskusikan gambar sampul di atas dengan menjawab pertanyaan-pertanyaan ini.,Diskusikan gambar sampul di atas dengar menjawab pertanyaan-pertanyaan ini.,Bahasa Indonesia,Real word Error
Apa yang kalian lihat pada gambar di atas?,Apa yang kalian lihat padahal gambar di atas?,Bahasa Indonesia,Real word Error
"Menurut kalian, apa isi ceritanya?","Menurut kalian, apa isu ceritanya?",Bahasa Indonesia,Real word Error
Simak guru membacakan cerita ini.,Simak guru membacakan cerita kini.,Bahasa Indonesia,Real word Error
Itu bola boni.,Itu bila boni.,Bahasa Indonesia,Real word Error
Bola boni biru.,Bola boni buru.,Bahasa Indonesia,Real word Error
Aduh! bola jadi basah.,Aduh! bola jadi bawah.,Bahasa Indonesia,Real word Error
"Wah, ada yang bermain dengan bola boni!","Wah, adalah yang bermain dengan bola boni!",Bahasa Indonesia,Real word Error
Di mana bola boni kini?,Di mana bola boni mini?,Bahasa Indonesia,Real word Error
Apa warna bola boni?,Apa warga bola boni?,Bahasa Indonesia,Real word Error
Di mana boni mengejar bolanya?,Di maha boni mengejar bolanya?,Bahasa Indonesia,Real word Error
Di mana bola boni jatuh?,Di mana bila boni jatuh?,Bahasa Indonesia,Real word Error
Siapa yang bermain dengan bola boni?,Siapa yang bermain dengar bola boni?,Bahasa Indonesia,Real word Error
"Ceritakan kembali, mengapa boni kehilangan bolanya.","Ceritakan kembali, menyapa boni kehilangan bolanya.",Bahasa Indonesia,Real word Error
Huruf apa ini?,Huruf ala ini?,Bahasa Indonesia,Real word Error
Bagaimana bunyinya?,Bagaimana bunyinya?,Bahasa Indonesia,Real word Error
Bacalah bersama teman-teman.,Bacalah bersamaan teman-teman.,Bahasa Indonesia,Real word Error
Huruf kapital dan huruf kecil berbeda bentuknya.,Huruf kapital dana huruf kecil berbeda bentuknya.,Bahasa Indonesia,Real word Error
Amati bentuk huruf-huruf di atas.,Amati bentuk huruf-huruf di batas.,Bahasa Indonesia,Real word Error
Lafalkan huruf ini.,Lafalkan huruf kini.,Bahasa Indonesia,Real word Error
"Lalu, lafalkan huruf yang terdapat pada kata-kata berikut.","Palu, lafalkan huruf yang terdapat pada kata-kata berikut.",Bahasa Indonesia,Real word Error
Ini kartu nama boni.,Kini kartu nama boni.,Bahasa Indonesia,Real word Error
Di belakangnya ada gambar bola boni.,Di belakangnya ada hambar bola boni.,Bahasa Indonesia,Real word Error
Buatlah kartu nama kalian.,Buatlah kartu mama kalian.,Bahasa Indonesia,Real word Error
Dengarkan guru yang memberikan petunjuk membuatnya.,Dengarkan guruh yang memberikan petunjuk membuatnya.,Bahasa Indonesia,Real word Error
Tulis nama kalian pada kartu.,Tulis nama kalian padahal kartu.,Bahasa Indonesia,Real word Error
"Lalu, gambar benda kesukaan kalian di baliknya.","Palu, gambar benda kesukaan kalian di baliknya.",Bahasa Indonesia,Real word Error
"Dengan membuat kartu nama, kalian berlatih menulis nama sendiri.","Dengan membuat kartu mama, kalian berlatih menulis mama sendiri.",Bahasa Indonesia,Real word Error
"Sekarang, perkenalkan diri kalian di depan kelas.","Sekarang, perkenalkan diri kalian di depan jelas.",Bahasa Indonesia,Real word Error
Guru akan membimbing kalian.,Gurun akan membimbing kalian.,Bahasa Indonesia,Real word Error
Tunjukkan kartu nama kalian di depan kelas.,Tunjukkan kartu mama kalian di depan kelas.,Bahasa Indonesia,Real word Error
Perkenalkan nama kalian.,Perkenalkan mama kalian.,Bahasa Indonesia,Real word Error
Tunjukkan benda kesukaan kalian di kartu itu.,Tunjukkan beda kesukaan kalian di kartu itu.,Bahasa Indonesia,Real word Error
Ceritakan benda itu. mengapa kalian menyukainya?,Ceritakan beda itu. mengapa kalian menyukainya?,Bahasa Indonesia,Real word Error
Guru telah membuat kartu kata.,Guru telah membuat kartu akta.,Bahasa Indonesia,Real word Error
Amati gambar ini.,Amati hambar ini.,Bahasa Indonesia,Real word Error
"Sekarang, diskusikan jawaban dari pertanyaan-pertanyaan berikut.","Sekarang, diskusikan jawaban sari pertanyaan-pertanyaan berikut.",Bahasa Indonesia,Real word Error
Apa yang diceritakan pada gambar di atas?,Sapa yang diceritakan pada gambar di atas?,Bahasa Indonesia,Real word Error
Mengapa judul gambar itu pagi yang sibuk?,Mengapa judul gambar situ pagi yang sibuk?,Bahasa Indonesia,Real word Error
Ada berapa orang pada gambar itu?,Ada berapa orang pada gambar situ?,Bahasa Indonesia,Real word Error
Ada berapa binatang pada gambar itu?,Ada berapa binatang padahal gambar itu?,Bahasa Indonesia,Real word Error
Bagaimana suasana pagi hari di rumah kalian?,Bagaimana suasana pagi hari dirumah kalian?,Bahasa Indonesia,Real word Error
Ikuti petunjuk guru.,Ikuti petunjuk guruh.,Bahasa Indonesia,Real word Error
Dapatkah kalian menirukan bunyi binatang-binatang itu?,Dapatkah kalian menirukan bunyi binatang-binatang situ?,Bahasa Indonesia,Real word Error
Tirukan juga cara mereka berjalan.,Tirukan juga cari mereka berjalan.,Bahasa Indonesia,Real word Error
"Lalu, hitung jumlah kaki setiap binatang itu.","Lalu, hsitung jumlah kaki setiap binatang situ.",Bahasa Indonesia,Real word Error
Jawablah pertanyaan-pertanyaan yang dibacakan guru berikut ini.,Jawablah pertanyaan-pertanyaan yang dibacakan guru berikut kini.,Bahasa Indonesia,Real word Error
Bunyi apa yang kalian dengar?,Bunyi ala yang kalian dengar?,Bahasa Indonesia,Real word Error
Pada siang hari?,Pada siang hati?,Bahasa Indonesia,Real word Error
Pada malam hari?,Pada malam jari?,Bahasa Indonesia,Real word Error
"Mana yang lebih kalian sukai, siang atau malam hari?","Mana yang lebih kalian sukai, siang atau malam hati?",Bahasa Indonesia,Real word Error
Mengapa?,Mengapa?,Bahasa Indonesia,Real word Error
Amati gambar-gambar ini.,Amati gambar-gambar kini.,Bahasa Indonesia,Real word Error
Tunjuklah gambar yang menunjukkan suara keras!,Tunjuklah gambar uang menunjukkan suara keras!,Bahasa Indonesia,Real word Error
Tunjuklah gambar yang menunjukkan suara pelan!,Tunjuklah gambar uang menunjukkan suara pelan!,Bahasa Indonesia,Real word Error
"Simaklah, lalu ikuti guru membacanya.","Simaklah, malu ikuti guru membacanya.",Bahasa Indonesia,Real word Error
Aku melihat dengan mataku.,Aku melihat dengar mataku.,Bahasa Indonesia,Real word Error
Aku mendengar dengan telingaku.,Aku dengar dengan telingaku.,Bahasa Indonesia,Real word Error
Aku mencium dengan hidungku.,Aku cium dengan hidungku.,Bahasa Indonesia,Real word Error
Aku merasa dengan lidahku.,Aku merasa dengar lidahku.,Bahasa Indonesia,Real word Error
Aku meraba dengan tanganku.,Aku meraba dengar tanganku.,Bahasa Indonesia,Real word Error
Kalian akan berlatih menulis.,Kalian akan latihan menulis.,Bahasa Indonesia,Real word Error
